,price,Address,area,Bedrooms,Bathrooms,neworold,type_of_building,Address_Values
76,17500000.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",941.0,2,2,0,0,11.0
77,17500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",750.0,2,2,0,0,129.0
79,19500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",845.0,2,2,0,0,129.0
80,24000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1090.0,2,2,0,0,129.0
81,33000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1200.0,3,2,0,0,129.0
82,18500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",675.0,2,2,0,0,129.0
83,35000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1200.0,3,3,0,0,129.0
84,26000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1175.0,2,2,0,0,129.0
85,23000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1000.0,2,2,0,0,129.0
86,52000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",2100.0,4,4,0,0,129.0
89,20000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",900.0,2,2,0,0,129.0
90,21500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",665.0,2,2,0,1,129.0
91,16500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",670.0,2,2,0,0,129.0
92,31500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1058.0,3,3,0,0,129.0
94,25000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",890.0,2,2,0,0,129.0
95,25000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",830.0,3,2,1,0,129.0
96,16500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",735.0,2,2,0,0,129.0
97,14000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",550.0,2,2,0,0,129.0
98,11500000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",520.0,2,2,0,0,129.0
100,25000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",960.0,2,2,0,0,129.0
101,40000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1400.0,4,3,0,0,129.0
102,21000000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",670.0,2,2,0,0,129.0
103,33900000.0,"Andheri West, Mumbai - Western Suburbs, Maharashtra",1200.0,2,2,0,1,129.0
